,object,room,identifiers,cluster_asgns
0,action_figure,garage,ann115_asgn2343-ann218_asgn2344-ann261_asgn2345-ann269_asgn2346-ann289_asgn2347-ann161_asgn2348-ann259_asgn2349-ann17_asgn2350-ann30_asgn2351-ann215_asgn2352-,2-1-0-0-1-1-2-0-0-1-
1,action_figure,utility_room,ann218_asgn2304-ann135_asgn2305-ann213_asgn2306-ann220_asgn2307-ann36_asgn2308-ann161_asgn2309-ann51_asgn2310-ann17_asgn2311-ann23_asgn2312-ann254_asgn2313-,0-2-2-0-1-0-1-1-2-1-
2,adjustable_wrench,corridor,ann130_asgn730-ann115_asgn731-ann135_asgn732-ann11_asgn733-ann136_asgn734-ann85_asgn735-ann137_asgn736-ann108_asgn737-ann17_asgn738-ann80_asgn739-,1-1-2-2-0-2-2-0-1-1-
3,anti_slip_tape,television_room,ann231_asgn4467-ann265_asgn4468-ann303_asgn4469-ann339_asgn4470-ann107_asgn4471-ann87_asgn4472-ann341_asgn4473-ann342_asgn4474-ann295_asgn4475-ann354_asgn4476-,1-2-2-0-2-1-2-0-2-2-
4,antidepressant,living_room,ann24_asgn2383-ann218_asgn2384-ann227_asgn2385-ann292_asgn2386-ann220_asgn2387-ann293_asgn2388-ann51_asgn2389-ann266_asgn2390-ann17_asgn2391-ann215_asgn2392-,2-0-2-2-0-1-2-2-1-1-
5,apple,childs_room,ann209_asgn1620-ann115_asgn1621-ann233_asgn1622-ann189_asgn1623-ann207_asgn1624-ann225_asgn1625-ann16_asgn1626-ann123_asgn1627-ann8_asgn1628-ann97_asgn1629-,2-0-2-2-1-2-1-2-2-0-
6,apple,home_office,ann115_asgn1070-ann116_asgn1071-ann41_asgn1072-ann129_asgn1073-ann207_asgn1074-ann16_asgn1075-ann94_asgn1076-ann8_asgn1077-ann215_asgn1078-ann97_asgn1079-,0-1-0-2-1-1-2-2-2-0-
7,apple,lobby,ann82_asgn1530-ann242_asgn1531-ann115_asgn1532-ann1_asgn1533-ann207_asgn1534-ann16_asgn1535-ann161_asgn1536-ann243_asgn1537-ann30_asgn1538-ann8_asgn1539-,2-2-0-2-2-1-0-2-1-2-
8,backpack,home_office,ann115_asgn2363-ann218_asgn2364-ann227_asgn2365-ann135_asgn2366-ann226_asgn2367-ann261_asgn2368-ann280_asgn2369-ann140_asgn2370-ann17_asgn2371-ann215_asgn2372-,2-2-0-0-0-1-0-0-1-2-
9,backpack,lobby,ann264_asgn1890-ann218_asgn1891-ann227_asgn1892-ann261_asgn1893-ann257_asgn1894-ann220_asgn1895-ann123_asgn1896-ann17_asgn1897-ann30_asgn1898-ann346_asgn4558-,1-2-2-0-2-1-2-0-1-2-
